	E18_Double_KO_1	E18_Double_KO_2	E18_Double_KO_3	E18_WT_2	E18_WT_3	E18_WT_4
Atp6v0d2	7.061475975	7.206936546	6.696026502	-2.242096775	-1.797466493	0.131468386
Cacna2d4	4.807788297	5.329739055	4.236786362	-3.379600299	-6.045394007	-2.371031954
Ces3a	6.281263675	6.060080555	5.954457782	-5.701528394	-3.723465912	-3.955994455
Csn1s2b	6.261641894	6.22501745	5.203766429	-3.379600299	-3.723465912	-5.540956956
Cyp4a10	5.995172127	4.078522115	4.975435872	-3.379600299	-1.653076584	-5.540956956
Cyp4a32	5.130570647	4.760833634	4.525909996	-4.116565893	-3.723465912	-5.540956956
Dmkn	8.184354054	8.099486568	7.324868518	-1.794637798	-0.91611099	1.697447784
Eif1ad10	4.841570017	6.007529303	5.101071934	-5.701528394	-4.460431506	-3.219028861
Elfn1	5.750407007	6.634289623	5.813299672	-2.242096775	-1.957931165	-3.955994455
Gjb4	4.230637602	3.709809631	3.785492977	-5.701528394	-6.045394007	-3.219028861
Il18r1	6.440378066	6.348763881	5.687961368	-5.701528394	-2.585962388	-0.183404951
Krt14	8.836954225	8.463328595	8.151797739	3.134521961	-1.290506505	0.436322968
Lcn2	11.04908565	10.46030895	9.771431466	0.448218726	0.294455996	4.16121573
Lrtm2	5.613718335	5.82351013	4.75787379	-2.894173472	-2.344954289	-3.219028861
Ly6g6c	6.206534099	4.918951029	4.939654179	-2.001088676	-2.875469005	-2.371031954
Ly6m	10.09989413	10.50858598	10.58224179	0.364560797	-0.264034293	0.186963499
Pkd2l1	4.005764191	4.733845566	4.081268784	-4.116565893	-4.460431506	-3.219028861
Serpina3m	3.727251684	3.97091916	3.814005665	-5.701528394	-4.460431506	-3.219028861
Serpina3n	8.56809858	8.1720714	8.572444032	-3.379600299	-2.344954289	-0.68297596
Sftpd	10.15767804	10.17721955	9.422942181	1.066655931	0.668851511	2.272824236
Slc10a6	5.931240752	4.902887452	5.105692258	-2.894173472	-4.460431506	-1.293029442
Slc51b	7.072186897	6.507237713	6.333018662	-2.001088676	-2.585962388	-3.219028861
Smim45	4.398909085	3.512209671	3.791240774	-5.701528394	-3.238039085	-5.540956956
Tat	4.111082218	4.544925246	3.836416912	-5.701528394	-4.460431506	-3.219028861
Vsig1	6.564415415	6.294387362	5.733452106	-3.379600299	-4.460431506	-5.540956956
Aadac	-2.854702067	-1.185585326	-2.013248815	4.740378311	4.948252053	3.827549506
Ccnb1	-0.222433852	-1.185585326	0.371415035	5.543429999	5.666703044	4.985542284
Col26a1	-2.36927524	-3.255974654	-2.375818894	5.096943407	4.118255669	3.887403217
Col2a1	1.266313334	1.716718	1.191865615	9.563756998	8.240080461	8.984013195
Col9a1	-2.006705161	-1.877463031	-2.375818894	4.925093258	4.465370161	5.900431074
Col9a3	1.198409269	0.399377175	1.637005146	8.219475686	6.85867607	7.79847554
Cyp2c68	-1.269739566	-1.877463031	-2.375818894	5.675139668	5.335608103	4.989449381
Dcn	2.241222353	2.235878442	2.656029972	7.654235629	8.512129527	9.999201361
Ermap	-0.653068206	-2.407977747	-1.723742198	3.604533296	4.921111445	3.575387006
Gsta3	-0.42174266	-0.086049652	-0.65961186	5.919149648	5.505833597	4.941851001
Haao	-1.269739566	-1.671012153	-0.790856393	5.884842301	6.024391388	4.534522194
Hba-x	1.85679284	1.822976688	1.956377536	9.746813799	10.25103831	9.722275561
Hbb-bh1	-0.653068206	-1.185585326	-0.138779697	6.176905756	7.319424617	5.911799073
Hbb-y	3.837390308	3.709809631	3.858485335	12.5444374	12.25089042	12.80707523
Hmmr	-0.784312739	-0.823015247	0.30867928	5.757390813	6.006154832	5.087488585
Hsd11b2	1.013194397	1.136342769	1.25976968	7.572412866	7.278364473	7.284995582
Hsd3b6	-2.006705161	-1.671012153	-2.861245721	5.655473698	5.781551644	5.555099284
Kmo	-2.36927524	-3.255974654	-0.325192821	4.63943437	4.68507613	3.543851432
Pitx1	-0.532773972	0.203456965	-1.482734098	4.482106988	5.890139406	5.874256643
Prodh2	-2.36927524	-2.407977747	0.747563521	5.333958057	5.991123064	4.449147008
Prtg	-3.591667661	-2.407977747	-0.428286314	4.107435781	3.499570426	4.251833339
Slc28a1	-2.36927524	-3.255974654	0.839193997	4.357816067	4.980437662	3.404486881
Tmem132c	-2.006705161	-3.255974654	-2.861245721	4.540454756	4.125782791	5.702812076
Uroc1	-2.854702067	-3.255974654	1.782610468	4.984096446	5.58714687	4.126154586
Zfhx4	-3.591667661	-5.577902749	-1.723742198	4.923267062	3.632325635	5.608155035
