	ExoRNeasy1_1	ExoRNeasy2_2	ExoRNeasy3_3	ExoRNeasy1_145	Nor1	Nor2	Nor3
hsa-miR-122-5p	2454.16521690784	2232.19902807219	2051.33682323018	3280.75641972409	134184.600094351	121704.439243916	192143.720029121
hsa-miR-486-5p	30838.4038506077	27024.3350261751	30721.7126891741	43013.2606529587	61614.1079521806	58344.1455072727	87622.6499757394
hsa-miR-92a-3p	35260.4459914435	31369.4188398294	35062.9859359195	30161.1534296689	62612.3034749129	43268.5633429783	38327.6304206553
hsa-miR-21-5p	163008.8350323	181434.009700167	171975.774754049	136062.186561216	123704.945138607	119617.710154192	77840.8229943791
hsa-miR-423-5p	37470.3308742609	35359.9689043702	40835.2370451539	47220.7564238737	42969.9405976181	47243.4894598169	55569.5361379373
hsa-let-7b-5p	68237.1549060421	53664.1372936964	69612.8277964207	76091.7433058062	57519.2694562663	71381.5603813304	29540.8384016259
hsa-let-7a-5p	71604.8149536879	58784.4227857007	56821.4102642543	47475.1554614555	45409.5080866486	41014.7245314902	27489.0484010915
hsa-let-7f-5p	64340.0314366005	61347.2927143884	59556.3194488207	44650.3349792158	47098.3318842125	38445.2340233362	23603.367102669
hsa-miR-148a-3p	36283.0148318217	36581.746747469	32253.0883055492	29013.0538769457	68154.1060689055	58555.5321638635	58507.4117494794
hsa-miR-30d-5p	55882.2509390718	54071.8511051769	58888.860307244	54449.6537515236	49308.6219702625	44719.7041747095	46763.9597479901
hsa-let-7i-5p	39785.8812039175	45316.9128890881	43195.2040007009	45836.429193396	38844.3453769136	35171.5974226196	35185.2735142653
hsa-miR-151a-3p	40382.3796941382	39586.4202712057	42064.799660649	35757.9322564691	34043.5002437727	31902.2456865638	33728.6797236688
hsa-miR-320a	7592.00554600842	7039.54030691673	7063.16790765991	6951.37110483333	10079.817533473	9915.17682468327	30805.294912549
hsa-miR-26a-5p	75251.977151037	73059.178757218	70531.2813227129	62896.0321876008	43092.9674967783	40267.7297923215	24537.218685439
hsa-miR-423-3p	15468.0579921219	14565.8827231931	15024.3379473019	19373.9734594784	8726.52164270991	8845.38894774755	10369.5094429311
hsa-miR-10b-5p	6840.9855421306	5975.93905957628	6622.53332115941	7100.04586705647	14845.7118429889	14345.7268837682	14983.4876366519
hsa-let-7g-5p	13822.8583467133	15381.9921418255	13672.6867051674	14429.7116446576	13409.9320084706	11941.9178091583	14473.089444
hsa-miR-10a-5p	6139.95779267128	6276.61095065137	5903.63582419657	6409.53419362008	11946.1915150523	9829.4795314708	11423.580999575
hsa-miR-451a	6062.6970358427	5007.10741055656	6253.16874513367	10375.8464613731	22339.168428206	17427.9728629769	34595.4442674468
hsa-miR-143-3p	8446.41862152448	11171.9038711029	10643.4013903792	7088.48227443912	16741.4445164132	13710.1386257757	14836.4328471812
hsa-miR-128-3p	8444.14624632364	7477.2531279376	7932.04229623052	8393.51629839784	9980.55719437777	7794.16881767454	8657.44820785268
hsa-miR-126-3p	24587.0996730952	22800.6108420251	22894.4063213804	20056.2254239024	13008.6965532547	13505.8934102859	11399.4296655378
hsa-let-7d-3p	3560.81193971721	2777.63556516985	3549.86626086479	3231.19816564971	5705.37244855802	6554.41464253407	5508.11424940748
hsa-miR-146a-5p	9775.75811401623	10185.3455346275	9491.92591679558	8983.25952188299	9473.07123534162	8938.22768206107	11089.7558935503
hsa-miR-25-3p	4268.65681477905	4449.3985513742	4331.97715842264	4265.31373400182	6657.43288410519	5670.30423422538	6908.35492725062
hsa-miR-22-3p	5720.70456811619	5828.67119455991	6405.62459362752	6956.32693024076	11435.9094901261	9762.34998512103	16608.0673728846
hsa-miR-101-3p	7620.41023601893	8258.59096733001	7818.01027947089	5839.61427176469	11911.2406914272	13238.8035131071	16554.9344380028
hsa-miR-27b-3p	2475.75278131582	2749.00014697223	2711.97883337016	1901.38501465379	7640.25004444243	5785.99558006222	6306.71836156945
hsa-miR-146b-5p	10123.4315197448	9033.11085000869	10612.4144293032	10696.3231710541	6665.82108177521	7451.37964482464	6582.04356959304
hsa-miR-99a-5p	1653.15295861153	1472.67865016369	1574.75736188153	1646.98597707196	5723.54687684306	4766.19779083378	7852.9404362594
hsa-miR-222-3p	10307.4939110129	8433.81245487263	9339.47006830173	8041.65269446973	5422.96979366737	5517.47739466314	3862.06666069728
hsa-miR-24-3p	5933.17164939479	5558.68010869657	5399.16809787954	4860.0127828944	8446.91505370928	7001.46885545915	9215.61237226696
hsa-miR-375	39.7665660147104	34.089783568604	78.7068811330007	57.8179630867791	3025.3432929869	2269.54998191036	5489.32987848969
hsa-miR-192-5p	1128.23428721735	979.058584090307	932.087789165614	1134.88401830335	5706.77048150302	4846.18193116542	7745.0644775601
hsa-miR-584-5p	4810.61830017953	4205.99749669436	4265.66506172003	2932.19669940094	4131.18735248443	2975.12436269307	3173.48529248236
hsa-miR-148b-3p	7610.18454761514	7426.80024825607	6288.4938807603	6198.08564290272	7227.83032566649	6922.91300334771	5808.12748778016
hsa-miR-409-3p	3563.08431491805	3195.57631172094	2941.28234533245	3763.12342604808	2752.72686871128	1836.77865118737	2549.84417801178
hsa-miR-1307-3p	3625.57463294116	3706.24126957863	3444.51059320644	4242.18654876711	2322.1327216503	1825.3523454257	2715.14664208832
hsa-miR-99b-5p	5351.44359797959	5326.18778475869	5516.91854996828	6148.52738882834	4930.86219702625	3666.41586127369	3208.90724907019
hsa-miR-30e-5p	4506.12002326689	4385.99155393659	3952.69675485258	4772.45986736299	4210.87523034961	3872.08936498363	4199.1119445936
hsa-miR-27a-3p	1497.49525735395	1531.31307790169	1187.42034843173	1144.79566911823	3706.18533720346	3156.51696665947	3474.57192347891
hsa-miR-191-5p	7113.67056623147	6342.74513077446	7112.74704538149	6308.76574366884	5765.48786519316	4244.87259045789	2773.1098437775
hsa-miR-140-3p	3373.34098564786	3717.15000032058	3838.04499887144	3318.75108118112	4579.95592783045	4616.22752771195	5375.55026035909
hsa-miR-221-3p	3397.20092525668	3320.34491958203	3019.36948724393	3209.72292221748	2647.87439783604	1885.34045067443	2491.34428001067
hsa-miR-378a-3p	787.378007091265	896.561307854285	1046.73954514676	1285.21072232898	2689.81538618614	1849.63324516924	4661.74416548313
hsa-miR-127-3p	2930.22782148394	3154.66857143861	3165.00820430106	3564.89040975055	3352.48300211765	2218.13160598288	2913.187581193
hsa-miR-16-2-3p	1187.31604243921	1060.87406465496	1166.96895412158	1243.91217726699	2765.30916521631	2309.54205207618	1887.02423276982
hsa-miR-125a-5p	1681.55764862204	1492.45072463348	1606.36406217904	2271.41997840918	2252.23107440014	1969.6094556667	1749.09328060206
hsa-miR-28-3p	2645.04473377845	2373.33073204621	2643.807519003	2165.6957030505	2055.10842915469	1688.23667628574	2218.70255354677
hsa-miR-625-3p	1478.18006814681	1350.63722498809	1475.59908643838	1164.61897074798	1178.54177263769	1048.3635536326	672.480478856823
hsa-miR-532-5p	1068.01634439508	1450.17939300841	1421.06203494465	1095.23741504384	2130.60220818486	1465.42371393331	3143.4302990139
hsa-miR-30a-5p	1614.52258019724	1719.48868320039	1785.46869719823	2362.27677754555	2979.2082058018	2395.23934528866	3564.20020757235
hsa-miR-744-5p	2866.60131586041	3287.61872735617	3737.02750576373	3459.16613439187	1832.82119089918	2026.74098447502	2994.7654206074
