"Row.names"	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"ExoRNeasy1_1"	"ExoRNeasy2_2"	"ExoRNeasy3_3"	"ExoRNeasy1_145"	"Nor1"	"Nor2"	"Nor3"
"1"	"hsa-miR-122-5p"	65435.8881221889	-5.89917723433257	0.205379807192506	-28.7232582159509	1.95504574324577e-181	7.93748571757783e-179	2454.16521690784	2232.19902807219	2051.33682323018	3280.75641972409	134184.600094351	121704.439243916	192143.720029121
"2"	"hsa-miR-375"	1570.65776388429	-6.09154589922548	0.32914333339578	-18.5072741300237	1.80401631651705e-76	3.66215312252961e-74	39.7665660147104	34.089783568604	78.7068811330007	57.8179630867791	3025.3432929869	2269.54998191036	5489.32987848969
"3"	"hsa-miR-192-5p"	3210.32593842931	-2.54899661454752	0.202081192306085	-12.6137251342354	1.77405219525881e-36	2.40088397091692e-34	1128.23428721735	979.058584090307	932.087789165614	1134.88401830335	5706.77048150302	4846.18193116542	7745.0644775601
"4"	"hsa-miR-99a-5p"	3527.18000738071	-1.9469692031336	0.198449984041347	-9.81088112724637	1.01082018280853e-22	1.02598248555066e-20	1653.15295861153	1472.67865016369	1574.75736188153	1646.98597707196	5723.54687684306	4766.19779083378	7852.9404362594
"5"	"hsa-miR-100-5p"	1360.09321400411	-2.00474258076313	0.206155438794131	-9.72442246728736	2.37247855941094e-22	1.92645259024168e-20	485.152105379466	684.522854057568	574.498258348753	629.389826744652	2305.35632631026	2545.20960841049	2296.52351877761
"6"	"hsa-miR-215-5p"	264.431483399843	-4.95633801812813	0.530400589312846	-9.34451830935794	9.23086805221348e-21	6.24622071533112e-19	3.40856280126089	17.7266874556741	14.8737413164726	42.9504868644645	450.166608291027	522.753488596093	799.14080847391
"7"	"hsa-miR-200a-3p"	122.162589523339	-5.95961159430778	0.69900845250529	-8.52580762499817	1.51747281299899e-17	8.80134231539414e-16	5.68093800210148	0	8.67634910127566	3.30388360495881	239.063633595546	265.66160895867	332.751713400822
"8"	"hsa-miR-10b-5p"	10102.061450476	-1.15040416446229	0.146801886070004	-7.83643994814687	4.634998626786e-15	2.3522618030939e-13	6840.9855421306	5975.93905957628	6622.53332115941	7100.04586705647	14845.7118429889	14345.7268837682	14983.4876366519
"9"	"hsa-miR-27b-3p"	4224.4401089123	-1.41803580489236	0.191265902178857	-7.41394984018805	1.22592302192286e-13	5.53027496556312e-12	2475.75278131582	2749.00014697223	2711.97883337016	1901.38501465379	7640.25004444243	5785.99558006222	6306.71836156945
"10"	"hsa-miR-451a"	14580.2007445051	-1.84033220184024	0.256219722078499	-7.18263288598999	6.83815413069548e-13	2.77629057706236e-11	6062.6970358427	5007.10741055656	6253.16874513367	10375.8464613731	22339.168428206	17427.9728629769	34595.4442674468
"11"	"hsa-miR-27a-3p"	2242.6140828782	-1.36166053111748	0.192391600041001	-7.07754668513224	1.46728770566923e-12	5.4156255318337e-11	1497.49525735395	1531.31307790169	1187.42034843173	1144.79566911823	3706.18533720346	3156.51696665947	3474.57192347891
"12"	"hsa-miR-320b"	626.446056793553	-2.10772683362992	0.320899927593847	-6.56817484950512	5.09357108877327e-11	1.72332488503496e-09	213.603268879016	231.810528266507	272.685257468664	320.476709681004	873.770590626994	774.132215352684	1698.64382728
"13"	"hsa-miR-148a-3p"	45621.1362491477	-0.880546183753852	0.154914734093203	-5.68406994278593	1.31526445331467e-08	4.10767206189044e-07	36283.0148318217	36581.746747469	32253.0883055492	29013.0538769457	68154.1060689055	58555.5321638635	58507.4117494794
"14"	"hsa-miR-378a-3p"	1888.15462560854	-1.61313278480202	0.28465427252522	-5.66698953959701	1.45328211124789e-08	4.21451812261887e-07	787.378007091265	896.561307854285	1046.73954514676	1285.21072232898	2689.81538618614	1849.63324516924	4661.74416548313
"15"	"hsa-miR-4433b-3p"	676.717484178908	1.76359875854413	0.31346025661833	5.62622763590567	1.84193244981612e-08	4.98549716416896e-07	593.089927419394	893.152329497425	982.286666108709	1414.06218292237	265.626259550606	239.952420994928	348.852602758926
"16"	"hsa-miR-125b-5p"	319.301242173858	-2.18402597058861	0.391941950407062	-5.57232000381774	2.51369149267907e-08	6.37849216267315e-07	79.5331320294207	114.541672790509	124.567583525458	189.973307285131	819.247305771869	415.6318720805	491.613821734118
"17"	"hsa-miR-10a-5p"	8275.57011531962	-0.840121744499282	0.151495360703666	-5.54552786697284	2.93068652691718e-08	6.99916899957867e-07	6139.95779267128	6276.61095065137	5903.63582419657	6409.53419362008	11946.1915150523	9829.4795314708	11423.580999575
"18"	"hsa-miR-126-3p"	18321.7659842117	0.837800896742149	0.151844965259916	5.51747563910381	3.43903737667841e-08	7.7569398607302e-07	24587.0996730952	22800.6108420251	22894.4063213804	20056.2254239024	13008.6965532547	13505.8934102859	11399.4296655378
"19"	"hsa-miR-320c"	282.167592305409	-1.9231361702925	0.353157403479172	-5.44554963692251	5.16456582377052e-08	1.1035861707636e-06	109.074009640348	149.313252030486	115.891234424182	140.415053210749	429.196114115979	385.637819456134	645.645663259982
"20"	"hsa-miR-486-5p"	48454.0879505869	-1.07271661881468	0.200657700112849	-5.34600276097745	8.99178368931204e-08	1.82533208893034e-06	30838.4038506077	27024.3350261751	30721.7126891741	43013.2606529587	61614.1079521806	58344.1455072727	87622.6499757394
"21"	"hsa-miR-22-3p"	8959.6648763823	-1.01733592539422	0.196545466500868	-5.17608441194815	2.265909703635e-07	4.380758760361e-06	5720.70456811619	5828.67119455991	6405.62459362752	6956.32693024076	11435.9094901261	9762.34998512103	16608.0673728846
"22"	"hsa-miR-339-5p"	193.444299565535	2.56712083360016	0.501887318001241	5.11493465071739	3.13849594026049e-07	5.75855252623191e-06	374.941908138698	282.945203619413	297.474826329451	244.487386766952	34.9508236250798	95.6953107539296	23.6146377252196
"23"	"hsa-miR-203a-3p"	126.447953314279	-3.43536704855559	0.672595033123675	-5.10763071294328	3.26223418973729e-07	5.75855252623191e-06	24.9961272092465	16.3630961129299	24.7895688607876	31.3868942471086	223.68527120051	515.612047495054	48.3026680743129
"24"	"hsa-miR-370-3p"	614.671670874153	1.49973077944953	0.299015383507885	5.01556395478891	5.2878131080746e-07	8.94521717449286e-06	847.595949913541	782.019635063776	882.508651444039	892.048573338877	180.346249905412	311.366832005323	406.815804448102
"25"	"hsa-miR-26a-5p"	55662.3407704439	0.969782973193639	0.194348208544803	4.98992494170625	6.04027581260027e-07	9.50873242727489e-06	75251.977151037	73059.178757218	70531.2813227129	62896.0321876008	43092.9674967783	40267.7297923215	24537.218685439
"26"	"hsa-let-7d-3p"	4412.48761027159	-0.85247095052569	0.17114231852946	-4.98106463585712	6.32354126937e-07	9.50873242727489e-06	3560.81193971721	2777.63556516985	3549.86626086479	3231.19816564971	5705.37244855802	6554.41464253407	5508.11424940748
"27"	"hsa-miR-101-3p"	10177.3720567317	-0.912621462641866	0.182956225794493	-4.98819572101894	6.09458082962125e-07	9.50873242727489e-06	7620.41023601893	8258.59096733001	7818.01027947089	5839.61427176469	11911.2406914272	13238.8035131071	16554.9344380028
"28"	"hsa-miR-16-2-3p"	1660.13524122072	-0.994152323501144	0.202954861870491	-4.89839126955989	9.66244821105503e-07	1.40105499060298e-05	1187.31604243921	1060.87406465496	1166.96895412158	1243.91217726699	2765.30916521631	2309.54205207618	1887.02423276982
"29"	"hsa-miR-222-3p"	7274.99185395497	0.872756115250881	0.182660232492168	4.77803024414907	1.77020759487201e-06	2.47829063282081e-05	10307.4939110129	8433.81245487263	9339.47006830173	8041.65269446973	5422.96979366737	5517.47739466314	3862.06666069728
"30"	"hsa-miR-423-3p"	13196.2388793548	0.78993237353259	0.165685500481078	4.76766145039229	1.86376626469797e-06	2.52229701155792e-05	15468.0579921219	14565.8827231931	15024.3379473019	19373.9734594784	8726.52164270991	8845.38894774755	10369.5094429311
"31"	"hsa-let-7e-5p"	2305.4845197883	1.02639963825216	0.231727732268506	4.42933449615282	9.45243195439265e-06	0.000123796366886562	3669.88594935756	2776.95376949848	2803.70023815508	2540.68649221332	1370.07228610313	1918.19107973922	1058.90182345133
"32"	"hsa-miR-320d"	91.2480817060306	-2.61637275369541	0.595272446346739	-4.39525257678633	1.10644026370655e-05	0.000140379608457768	42.038941215551	21.8174614839066	26.029047303827	24.779127037191	130.017063885297	117.119634057048	276.935296959394
"33"	"hsa-miR-150-5p"	644.039007882383	1.64125890706307	0.376321802213423	4.36131762074276	1.29281533467321e-05	0.000159055462387068	706.708687461424	677.704897343848	784.589854443928	1466.92432060171	416.613817610951	138.543957360167	317.187520354655
"34"	"hsa-miR-103a-3p"	1621.14281660014	0.881477615509925	0.203949576387829	4.32203700111498	1.54595254427235e-05	0.000184604921463111	2217.83819602042	2172.88280466282	1836.90705258436	1833.65540075214	1245.64735399784	1138.3457115057	902.723196677714
"35"	"hsa-miR-328-3p"	755.417534314942	1.11102881743983	0.26060191092695	4.26331799904285	2.01413560718465e-05	0.000233639730433419	1139.59616322156	770.429108650451	862.057257133889	1156.35926173558	425.00201528097	395.63583699759	538.843097184557
"36"	"hsa-let-7d-5p"	2318.05300232831	0.823484397631578	0.198440065709927	4.14978897878072	3.32781921089454e-05	0.000375304055450884	3330.16585683189	2807.63457471023	2882.40711928808	2372.18842836042	1753.133313034	1748.22478153448	1332.6169425391
"37"	"hsa-miR-223-5p"	1881.07754961914	-0.876273034456978	0.218459457236273	-4.01114717368016	6.04244268461107e-05	0.000663035602689756	1581.57313978505	1273.59431412305	1313.84714962174	1369.45975425542	2654.86456256106	3119.38147293406	1854.82245405362
"38"	"hsa-miR-92b-3p"	376.589517737332	-1.2068262642002	0.306218382726427	-3.94106406498255	8.11209547730178e-05	0.000866713358890663	229.5098952849	235.219506623368	264.628647588908	234.575735952075	717.190900786637	508.470606394014	446.531331531426
"39"	"hsa-miR-29a-3p"	359.868681004514	-1.22073201921567	0.310268190362955	-3.93444141917236	8.33904037617108e-05	0.00086811548531422	272.685024100871	250.219011393553	210.091596095175	183.365540075214	443.176443566011	567.030423422538	592.512728378238
"40"	"hsa-miR-145-3p"	140.774487379907	-2.00380720679233	0.522011887113284	-3.83862371003341	0.000123725873176554	0.00125581761274203	56.8093800210148	94.7695983207191	44.001484727898	49.5582540743821	380.264961040868	139.972245580375	220.045487894092
"41"	"hsa-miR-361-3p"	789.026805888198	1.0324254878857	0.270334804956274	3.81906239580469	0.00013395987810499	0.00132652952464941	915.767205938759	760.202173579869	1146.51755981143	1222.43693383476	430.594147060983	421.345024961332	626.324596030257
"42"	"hsa-miR-1307-3p"	3125.87782195109	0.713328749363253	0.190815276878189	3.73832096168392	0.000185253348505483	0.00179078236888634	3625.57463294116	3706.24126957863	3444.51059320644	4242.18654876711	2322.1327216503	1825.3523454257	2715.14664208832
"43"	"hsa-miR-335-3p"	735.256038619358	1.13492950895596	0.30748332163895	3.69102786748417	0.000223349663065792	0.00210883635359794	998.70890076944	1119.50849239296	1021.94997628597	692.16361523887	589.969902791346	464.193671567569	260.297711289353
"44"	"hsa-miR-143-3p"	11805.460306688	-0.692662423774091	0.188787663348055	-3.66900257935328	0.000243498622800835	0.0021968986857142	8446.41862152448	11171.9038711029	10643.4013903792	7088.48227443912	16741.4445164132	13710.1386257757	14836.4328471812
"45"	"hsa-miR-193a-5p"	91.0234748826347	-2.92542452117793	0.796649837133218	-3.67215856304598	0.000240510371180918	0.0021968986857142	18.1790016067247	46.3621056533015	1.23947844303938	29.7349524446292	148.191492170338	147.113686681414	246.343607178996
"46"	"hsa-miR-25-3p"	5221.63404345127	-0.566980048575873	0.15604027875599	-3.63354931877875	0.000279548982550167	0.00246732362859495	4268.65681477905	4449.3985513742	4331.97715842264	4265.31373400182	6657.43288410519	5670.30423422538	6908.35492725062
"47"	"hsa-miR-146b-5p"	8737.78918090053	0.552123687288309	0.152360991886595	3.62378638030439	0.000290321416880249	0.00250788287773151	10123.4315197448	9033.11085000869	10612.4144293032	10696.3231710541	6665.82108177521	7451.37964482464	6582.04356959304
"48"	"hsa-miR-454-3p"	12.5641664452882	6.86362541526902	1.90049609191917	3.61149146501951	0.000304441105156094	0.00257506434777863	18.1790016067247	17.7266874556741	17.3526982025513	34.6907778520675	0	0	0
"49"	"hsa-miR-24-3p"	6630.71841718581	-0.596462220538013	0.166768592010483	-3.57658605464821	0.000348110754570251	0.00288434625215351	5933.17164939479	5558.68010869657	5399.16809787954	4860.0127828944	8446.91505370928	7001.46885545915	9215.61237226696
"50"	"hsa-miR-641"	16.0364679111208	7.21541871236821	2.11519901984681	3.41122449692264	0.000646718202187998	0.00525135180176654	10.2256884037827	40.9077402823248	0	61.1218466917379	0	0	0
"51"	"hsa-miR-155-5p"	347.547214346884	1.16185267864043	0.353622885052	3.28556981958217	0.00101776315179666	0.00810219293391065	438.568413762234	342.943222700156	508.805900867666	530.273318595888	292.188885505667	175.679451085572	144.371307911002
"52"	"hsa-miR-152-3p"	808.026434976925	0.76105448399177	0.233959506421063	3.25293250799598	0.00114220623195783	0.00891799481105539	981.666086763136	912.924403967215	1023.80919395053	1004.38061590748	457.156773016043	624.161952230854	652.086019003224
"53"	"hsa-miR-21-5p"	139092.040619273	0.607638980783412	0.188340447333907	3.22627980014371	0.00125410691026319	0.00949944194451595	163008.8350323	181434.009700167	171975.774754049	136062.186561216	123704.945138607	119617.710154192	77840.8229943791
"54"	"hsa-miR-532-5p"	1681.99305836058	-0.83615357984774	0.259340791816336	-3.2241498685633	0.00126347257390114	0.00949944194451595	1068.01634439508	1450.17939300841	1421.06203494465	1095.23741504384	2130.60220818486	1465.42371393331	3143.4302990139
"55"	"hsa-miR-874-3p"	10.0947933514382	6.55221481680461	2.04228332127375	3.20827906126074	0.00133531862499279	0.00985707930449219	14.7704388054638	8.18154805646496	27.8882649683861	19.8233016297528	0	0	0
"56"	"hsa-miR-30a-5p"	2345.77207097203	-0.673483762034291	0.212644295916816	-3.16718470688605	0.00153922519636584	0.0111593826736523	1614.52258019724	1719.48868320039	1785.46869719823	2362.27677754555	2979.2082058018	2395.23934528866	3564.20020757235
"57"	"hsa-let-7a-5p"	49799.869212047	0.627865125644438	0.199568469096499	3.14611385499401	0.0016545558289144	0.0117850818691096	71604.8149536879	58784.4227857007	56821.4102642543	47475.1554614555	45409.5080866486	41014.7245314902	27489.0484010915
"58"	"hsa-miR-130b-5p"	952.138851786743	0.770051689532214	0.245625963214797	3.13505819764994	0.00171820021008349	0.0118235472083711	1329.33949249175	1139.28056686275	1165.72947567854	991.165081487642	829.033536386892	707.002669002913	503.421140596728
"59"	"hsa-miR-4485-3p"	55.4077098057118	3.54310096737255	1.12985564211777	3.13588819252295	0.00171334509723145	0.0118235472083711	171.564327663465	21.8174614839066	109.693842208985	62.7737884942173	0	0	22.0045487894092
"60"	"hsa-miR-1246"	234.678923838638	-1.57644606170454	0.508562251775195	-3.0998094258899	0.00193645193657301	0.0131033247708107	262.459335697088	120.677833832858	68.1713143671659	56.1660212842997	465.544970686062	295.655661583036	374.077329419957
"61"	"hsa-miR-708-3p"	21.5686946737961	-4.7075454425034	1.54081889585664	-3.05522307336851	0.00224893182354506	0.0149683003337589	0	6.8179567137208	0	0	16.7763953400383	82.8407167720585	44.5457938907552
"62"	"hsa-let-7f-5p"	48434.4159413204	0.659788537789126	0.217845546098946	3.02869877123606	0.00245609444553552	0.0160834571756036	64340.0314366005	61347.2927143884	59556.3194488207	44650.3349792158	47098.3318842125	38445.2340233362	23603.367102669
"63"	"hsa-miR-191-5p"	5665.91411221212	0.658002726430879	0.220391755449532	2.98560499728656	0.0028301795933964	0.018226996814136	7113.67056623147	6342.74513077446	7112.74704538149	6308.76574366884	5765.48786519316	4244.87259045789	2773.1098437775
"64"	"hsa-miR-30e-3p"	1400.29394693821	0.689643678922805	0.231347522481751	2.9809857980096	0.00287322117267168	0.018226996814136	1847.4410382834	1756.30564945448	1778.03182653999	1306.68596576121	1321.14113302801	848.403202803495	944.048812696849
"65"	"hsa-miR-17-5p"	470.504489865042	0.870716395307868	0.294896329207775	2.95261862922135	0.00315090974781779	0.0196810670402157	572.638550611829	502.483409801223	585.033825114588	673.992255411596	413.817751720944	301.368814463868	244.196821931249
