"","E18_Double_KO_1","E18_Double_KO_2","E18_Double_KO_3","E18_WT_2","E18_WT_3","E18_WT_4"
"ENSMUSG00000025902",4.27251848333969,3.52275959023497,4.5498415054149,2.48334694902796,3.33614894447109,2.44203661907781
"ENSMUSG00000033845",4.70754035707269,5.00612019148731,5.31168176822014,5.93826449939898,5.94789823477505,5.71111708717968
"ENSMUSG00000025903",6.39843630254291,6.77331257308538,7.11917951016014,6.90972699481901,7.00394406503844,6.55740417171559
"ENSMUSG00000033813",4.45454689366823,4.31842965513971,4.66074723501797,4.6658863573665,4.68337684282917,4.84382679447685
"ENSMUSG00000033793",5.76808189900774,5.70807735715798,6.04864736238634,7.31719339808985,7.12155361836366,7.15796470672331
"ENSMUSG00000025907",6.1537265549222,6.56196831444226,5.96593817443583,5.63887809697297,5.62570471903497,5.74733238656447
"ENSMUSG00000051285",5.49136837363678,5.26993760686048,5.55745022821835,4.88249454637721,4.83495480144253,5.13235211994519
"ENSMUSG00000061024",3.91348225762854,4.51088548994668,3.97417311909178,4.70041773009621,4.68846871296505,4.75939560471172
"ENSMUSG00000025911",2.58492107040873,2.46101624052207,3.73866712080343,3.99369989761542,4.43135219722597,2.97079569815088
"ENSMUSG00000045210",5.44633678275476,5.72872861294227,5.51466254169131,5.58445171204788,5.68210106231194,5.54584273000695
"ENSMUSG00000025915",6.93938883128935,7.63322507185542,7.25795480553364,7.00259139463269,7.14766927241691,6.15383619938345
"ENSMUSG00000098234",5.15092248204549,4.5526678140352,5.08712151020098,4.50181960909943,3.97558593219072,4.93376299090998
"ENSMUSG00000099032",3.20274820503551,3.77744834765458,4.47325104700672,5.71474135064288,6.0529671206186,4.79107959274515
"ENSMUSG00000025917",5.95458374305052,6.09319597697823,6.29103912092288,6.27825403682276,6.18252271748799,6.01027064798178
"ENSMUSG00000056763",5.25068268209922,5.27462676063397,5.94417572478806,5.41286466098698,5.44194360849369,5.33939185253952
"ENSMUSG00000067851",6.66060353830334,7.09120376256607,6.74497439989798,6.68136577501181,6.64918153081249,6.4593952218638
"ENSMUSG00000048960",5.38847191632457,6.14874117271376,4.86531305772127,3.39913394512487,3.47227538142032,3.13500007732525
"ENSMUSG00000005886",5.70830348591401,6.14618471302376,5.52677156396144,5.44504028186046,5.79026168412631,5.41541920163317
"ENSMUSG00000025935",6.93091386994024,6.81950449560515,7.17245257736685,7.45123177489507,7.47190629557661,7.55361562287629
"ENSMUSG00000025937",5.55043939598796,5.71038659341074,6.04263612435248,6.68136577501181,6.72547632464404,6.1520943397805
"ENSMUSG00000067813",0.0328232035932024,-1.32997523532664,2.37906860795001,4.31388665850636,4.12076907593262,4.33709395711203
"ENSMUSG00000025925",4.15652518827487,4.0892087933048,3.78549297692415,5.12581431035379,4.8318901268097,5.09838375303573
"ENSMUSG00000043716",8.63323842940517,8.57983891560021,8.45107002530641,8.87796433373004,8.47896405418922,9.04371199818503
"ENSMUSG00000025921",4.97184642014253,5.55844759268393,5.03962108659705,3.75995105340583,3.51875548327224,3.76510473381184
"ENSMUSG00000025920",2.55807945819009,3.07673327975774,1.8055108705011,3.77622987256356,3.49570260863603,3.35688850038901
"ENSMUSG00000025939",4.58658220477865,4.55780653733417,4.19403671411749,4.60794795996078,4.48890887574114,5.13411796476894
"ENSMUSG00000079658",5.50899467769061,5.26680301564171,5.68023814267058,5.69347012062134,5.51254828007395,5.93932836531987
"ENSMUSG00000025940",3.98576116672116,4.24705599175829,4.40366597169077,4.97883112963338,4.87123191549774,5.04869419089828
"ENSMUSG00000041859",2.80636341265856,2.95737262785057,3.31268121061611,6.1676798566705,6.10467057236797,6.02842400390579
"ENSMUSG00000041779",5.63313796667467,5.16103393290591,5.64258001661205,5.47402115675586,5.58896329442448,5.48210429411883
"ENSMUSG00000025934",-0.421742659872279,-0.0860496524405558,-0.659611860214049,5.91914964825508,5.50583359688479,4.94185100111016
"ENSMUSG00000026156",6.67394738516987,6.5368156404182,6.61570295186224,5.54817766308938,5.4589284415784,5.93224142806102
"ENSMUSG00000026155",7.01597088767621,6.99313879883086,6.97322532860052,6.16381825093645,6.181921093192,6.42950848516349
"ENSMUSG00000026153",5.96993851370504,5.80634137347285,6.04984661020343,5.40241503601123,5.35174579952211,5.36518204057888
"ENSMUSG00000026147",-2.00670516059343,-1.87746303062914,-2.37581889421346,4.92509325847804,4.4653701612044,5.90043107373018
"ENSMUSG00000101939",4.04978203075304,4.06414894415775,4.88694712820576,-1.45360088043674,-2.5859623880762,-0.786069453453035
"ENSMUSG00000073725",6.35231225302915,6.37447450319775,6.35258756171559,4.9414258296,5.18522692641637,5.06174190940146
