"ensembl_gene_id"	"description"	"uniprot_gn_symbol"
"1"	"ENSMUSG00000000001"	"guanine nucleotide binding protein (G protein), alpha inhibiting 3 [Source:MGI Symbol;Acc:MGI:95773]"	"Gnai3"
"2"	"ENSMUSG00000000028"	"cell division cycle 45 [Source:MGI Symbol;Acc:MGI:1338073]"	"Cdc45"
"3"	"ENSMUSG00000000058"	"caveolin 2 [Source:MGI Symbol;Acc:MGI:107571]"	"Cav2"
"4"	"ENSMUSG00000000078"	"Kruppel-like factor 6 [Source:MGI Symbol;Acc:MGI:1346318]"	"Klf6"
"5"	"ENSMUSG00000000094"	"T-box 4 [Source:MGI Symbol;Acc:MGI:102556]"	"Tbx4"
"6"	"ENSMUSG00000000159"	"immunoglobulin superfamily, member 5 [Source:MGI Symbol;Acc:MGI:1919308]"	"Igsf5"
"7"	"ENSMUSG00000000168"	"dihydrolipoamide S-acetyltransferase (E2 component of pyruvate dehydrogenase complex) [Source:MGI Symbol;Acc:MGI:2385311]"	"Dlat"
"8"	"ENSMUSG00000000171"	"succinate dehydrogenase complex, subunit D, integral membrane protein [Source:MGI Symbol;Acc:MGI:1914175]"	"Sdhd"
"9"	"ENSMUSG00000000194"	"G protein-coupled receptor 107 [Source:MGI Symbol;Acc:MGI:2139054]"	"Gpr107"
"10"	"ENSMUSG00000000266"	"midline 2 [Source:MGI Symbol;Acc:MGI:1344333]"	"Mid2"
"11"	"ENSMUSG00000000276"	"diacylglycerol kinase, epsilon [Source:MGI Symbol;Acc:MGI:1889276]"	"Dgke"
"12"	"ENSMUSG00000000346"	"DAZ associated protein 2 [Source:MGI Symbol;Acc:MGI:1344344]"	"Dazap2"
"13"	"ENSMUSG00000000384"	"transforming growth factor beta regulated gene 4 [Source:MGI Symbol;Acc:MGI:1100868]"	"Tbrg4"
"14"	"ENSMUSG00000000530"	"activin A receptor, type II-like 1 [Source:MGI Symbol;Acc:MGI:1338946]"	"Acvrl1"
"15"	"ENSMUSG00000000532"	"activin A receptor, type 1B [Source:MGI Symbol;Acc:MGI:1338944]"	"Acvr1b"
"16"	"ENSMUSG00000000552"	"zinc finger protein 385A [Source:MGI Symbol;Acc:MGI:1352495]"	"Zfp385a"
"17"	"ENSMUSG00000000552"	"zinc finger protein 385A [Source:MGI Symbol;Acc:MGI:1352495]"	"Znf385a"
"18"	"ENSMUSG00000000563"	"ATP synthase peripheral stalk-membrane subunit b [Source:MGI Symbol;Acc:MGI:1100495]"	"Atp5pb"
"19"	"ENSMUSG00000000568"	"heterogeneous nuclear ribonucleoprotein D [Source:MGI Symbol;Acc:MGI:101947]"	"Hnrnpd"
"20"	"ENSMUSG00000000594"	"GM2 ganglioside activator protein [Source:MGI Symbol;Acc:MGI:95762]"	"Gm2a"
"21"	"ENSMUSG00000000600"	"KRIT1, ankyrin repeat containing [Source:MGI Symbol;Acc:MGI:1930618]"	"Krit1"
"22"	"ENSMUSG00000000673"	"3-hydroxyanthranilate 3,4-dioxygenase [Source:MGI Symbol;Acc:MGI:1349444]"	"Haao"
"23"	"ENSMUSG00000000711"	"RAB5B, member RAS oncogene family [Source:MGI Symbol;Acc:MGI:105938]"	"Rab5b"
"24"	"ENSMUSG00000000743"	"charged multivesicular body protein 1A [Source:MGI Symbol;Acc:MGI:1920159]"	"Chmp1a"
"25"	"ENSMUSG00000000751"	"replication protein A1 [Source:MGI Symbol;Acc:MGI:1915525]"	"Rpa1"
"26"	"ENSMUSG00000000753"	"serine (or cysteine) peptidase inhibitor, clade F, member 1 [Source:MGI Symbol;Acc:MGI:108080]"	"Serpinf1"
